nohup: ignoring input
010.sh: line 2: 12899 Killed                  CUDA_VISIBLE_DEVICES=0 python -W ignore cnn-tree-107.py 1 0.001 20000 0.0 0 hvac
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['fridge']
Round: 19000 Training Error: tensor(57.6966, device='cuda:0') Validation Error: tensor(54.8941, device='cuda:0') Test Error: tensor(40.3882, device='cuda:0')
Round: 19500 Training Error: tensor(57.6696, device='cuda:0') Validation Error: tensor(55.0625, device='cuda:0') Test Error: tensor(39.9208, device='cuda:0')
Round: 20000 Training Error: tensor(57.3545, device='cuda:0') Validation Error: tensor(54.2902, device='cuda:0') Test Error: tensor(40.5138, device='cuda:0')
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['dw']
Round: 500 Training Error: tensor(18.5281, device='cuda:0') Validation Error: tensor(8.9883, device='cuda:0') Test Error: tensor(11.0276, device='cuda:0')
Round: 1000 Training Error: tensor(18.5278, device='cuda:0') Validation Error: tensor(8.9877, device='cuda:0') Test Error: tensor(11.0288, device='cuda:0')
Round: 1500 Training Error: tensor(18.5277, device='cuda:0') Validation Error: tensor(8.9887, device='cuda:0') Test Error: tensor(11.0287, device='cuda:0')
Round: 2000 Training Error: tensor(18.5277, device='cuda:0') Validation Error: tensor(8.9885, device='cuda:0') Test Error: tensor(11.0287, device='cuda:0')
Round: 2500 Training Error: tensor(18.5276, device='cuda:0') Validation Error: tensor(8.9883, device='cuda:0') Test Error: tensor(11.0291, device='cuda:0')
Round: 3000 Training Error: tensor(18.5274, device='cuda:0') Validation Error: tensor(8.9923, device='cuda:0') Test Error: tensor(11.0323, device='cuda:0')
Round: 3500 Training Error: tensor(18.5266, device='cuda:0') Validation Error: tensor(9.0027, device='cuda:0') Test Error: tensor(11.0404, device='cuda:0')
Round: 4000 Training Error: tensor(18.5247, device='cuda:0') Validation Error: tensor(8.9988, device='cuda:0') Test Error: tensor(11.0581, device='cuda:0')
